x,y,R,G,B,,
0,0,255,255,255,,souradniceVsechBarevObrazku-0.json
1,0,255,255,255,,
2,0,255,255,255,,
3,0,255,255,255,,
4,0,255,255,255,,
5,0,255,255,255,,
6,0,255,255,255,,
7,0,255,255,255,,
8,0,255,255,255,,
9,0,255,255,255,,
10,0,255,255,255,,
11,0,255,255,255,,
12,0,255,255,255,,
13,0,255,255,255,,
14,0,255,255,255,,
15,0,255,255,255,,
16,0,255,255,255,,
17,0,255,255,255,,
18,0,255,255,255,,
19,0,255,255,255,,
20,0,255,255,255,,
21,0,255,255,255,,
0,1,255,255,255,,
1,1,255,255,255,,
2,1,255,255,255,,
3,1,255,255,255,,
4,1,255,255,255,,
5,1,255,255,255,,
6,1,255,255,255,,
7,1,255,255,255,,
8,1,255,255,255,,
9,1,255,255,255,,
10,1,255,255,255,,
11,1,255,255,255,,
12,1,255,255,255,,
13,1,255,255,255,,
14,1,255,255,255,,
15,1,255,255,255,,
16,1,255,255,255,,
17,1,255,255,255,,
18,1,255,255,255,,
19,1,255,255,255,,
20,1,255,255,255,,
21,1,255,255,255,,
0,2,255,255,255,,
1,2,255,255,255,,
2,2,255,255,255,,
3,2,255,255,255,,
4,2,255,255,255,,
5,2,255,255,255,,
6,2,255,255,255,,
7,2,255,255,255,,
8,2,255,255,255,,
9,2,255,255,255,,
10,2,255,255,255,,
11,2,255,255,255,,
12,2,255,255,255,,
13,2,255,255,255,,
14,2,255,255,255,,
15,2,255,255,255,,
16,2,255,255,255,,
17,2,255,255,255,,
18,2,255,255,255,,
19,2,255,255,255,,
20,2,255,255,255,,
21,2,255,255,255,,
0,3,255,255,255,,
1,3,255,255,255,,
2,3,255,255,255,,
3,3,255,255,255,,
4,3,255,255,255,,
5,3,255,255,255,,
6,3,255,255,255,,
7,3,255,255,255,,
8,3,255,255,255,,
9,3,255,255,255,,
10,3,255,255,255,,
11,3,255,255,255,,
12,3,255,255,255,,
13,3,255,255,255,,
14,3,255,255,255,,
15,3,255,255,255,,
16,3,255,255,255,,
17,3,255,255,255,,
18,3,255,255,255,,
19,3,255,255,255,,
20,3,255,255,255,,
21,3,255,255,255,,
0,4,255,255,255,,
1,4,255,255,255,,
2,4,255,255,255,,
3,4,255,255,255,,
4,4,255,255,255,,
5,4,255,255,255,,
6,4,255,255,255,,
7,4,255,255,255,,
8,4,255,255,255,,
9,4,255,255,255,,
10,4,255,255,255,,
11,4,255,255,255,,
12,4,255,255,255,,
13,4,255,255,255,,
14,4,255,255,255,,
15,4,255,255,255,,
16,4,255,255,255,,
17,4,255,255,255,,
18,4,255,255,255,,
19,4,255,255,255,,
20,4,255,255,255,,
21,4,255,255,255,,
0,5,255,255,255,,
1,5,255,255,255,,
2,5,255,255,255,,
3,5,255,255,255,,
4,5,255,255,255,,
5,5,255,255,255,,
6,5,255,255,255,,
7,5,219,219,182,,
8,5,102,58,58,,
9,5,58,0,0,,
10,5,0,0,0,,
11,5,0,0,0,,
12,5,0,0,58,,
13,5,58,102,182,,
14,5,219,255,255,,
15,5,255,255,255,,
16,5,255,255,255,,
17,5,255,255,255,,
18,5,255,255,255,,
19,5,255,255,255,,
20,5,255,255,255,,
21,5,255,255,255,,
